Date,Close,High,Low,Open,Volume,Symbol
2022-03-21,162.74301147460938,163.69754597170976,160.41079104635503,160.90281851844856,95811400,AAPL
2022-03-22,166.1281280517578,166.71855188517935,162.28047042303692,162.87089425645846,81532000,AAPL
2022-03-23,167.4959716796875,169.88721760148997,164.9767788153055,165.3113688542094,98062700,AAPL
2022-03-24,171.29443359375,171.36330962465348,167.4959813021374,168.33241890873853,90131400,AAPL
2022-03-25,171.93408203125,172.48515040066314,169.99549257889427,171.10747947713025,80546200,AAPL
2022-03-28,172.80003356933594,172.92795048627315,169.25743018713217,169.42471770580778,90371900,AAPL
2022-03-29,176.1064453125,176.15563603779327,173.528211647518,173.87263681747436,100589400,AAPL
2022-03-30,174.93545532226562,176.74611285404396,173.88250930234273,175.70301699368227,92633200,AAPL
2022-03-31,171.82582092285156,175.19128676604245,171.61916279397346,175.00431393883977,103049300,AAPL
2022-04-01,171.53057861328125,172.09149702017976,169.198373694139,171.25504448846627,78751300,AAPL
2022-04-04,175.59474182128906,175.6439475646401,171.6585226009615,171.78645453057726,76468400,AAPL
2022-04-05,172.26864624023438,175.45698948199342,171.6388517127187,174.66974256872732,73401800,AAPL
2022-04-06,169.0901336669922,170.86143526379934,167.41724355380708,169.6116814961237,89058800,AAPL
2022-04-07,169.39520263671875,170.59575076458447,167.14172361896223,168.4308330803216,77594700,AAPL
2022-04-08,167.3778839111328,169.0409389910171,166.5020757053073,169.0409389910171,76575500,AAPL
2022-04-11,163.10708618164062,166.33478478538393,162.8610724769926,166.0198950514866,72246700,AAPL
2022-04-12,164.98663330078125,167.1613860255376,163.98289318870957,165.34089363354275,79265200,AAPL
2022-04-13,167.6829376220703,168.3127321148904,164.11082878699807,164.72093797881234,70618900,AAPL
2022-04-14,162.65440368652344,168.53906192676106,162.40838999801636,167.89941732735232,75329400,AAPL
2022-04-18,162.43795776367188,163.94356063555975,160.96187533903773,161.3062855621602,69023900,AAPL
2022-04-19,164.7307586669922,165.14407487442162,161.29641720934256,162.38871857930025,67723800,AAPL
2022-04-20,164.56349182128906,166.18719136722032,163.45152002793873,166.06909457220715,67929800,AAPL
2022-04-21,163.7664031982422,168.7949239860417,163.26454063992998,166.21670513338208,87227800,AAPL
2022-04-22,159.21018981933594,165.19324369036354,158.92482058732242,163.80573809266767,84882400,AAPL
2022-04-25,160.28285217285156,160.5682214607871,155.9333317168137,158.55090609825874,96046400,AAPL
2022-04-26,154.29978942871094,159.75144619433357,154.22106324602348,159.66288486961668,95623200,AAPL
2022-04-27,154.07350158691406,157.24214493496905,152.90247371141064,153.42402167042658,88063200,AAPL
2022-04-28,161.03074645996094,161.8967195942573,156.3958411813348,156.710745963074,130216800,AAPL
2022-04-29,155.13623046875,163.54990186297132,154.74261456190868,159.25942241026976,131747600,AAPL
2022-05-02,155.4413299560547,155.70701398729622,150.82610973572451,154.2112612412753,123055300,AAPL
2022-05-03,156.93707275390625,158.14747110367338,153.82747065183054,155.62827792248643,88966500,AAPL
